"id";"muscle_id";"exercise_id";"body_part_id";"muscle_type";"active"
1;19;1;1;"primary";1
2;2;1;1;"primary";1
3;3;1;1;"primary";1
4;4;1;1;"secondary";1
5;5;1;1;"secondary";1
6;6;1;1;"secondary";1
7;7;1;1;"antagonistic";0
8;31;1;1;"antagonistic";0
9;9;1;1;"antagonistic";0
10;19;2;1;"primary";1
11;2;2;1;"primary";1
12;3;2;1;"primary";1
13;10;2;1;"secondary";1
14;4;2;1;"secondary";1
15;5;2;1;"secondary";1
16;6;2;1;"secondary";1
17;7;2;1;"antagonistic";0
18;31;2;1;"antagonistic";0
19;9;2;1;"antagonistic";0
20;19;4;1;"primary";1
22;3;4;1;"primary";1
23;4;4;1;"secondary";1
24;5;4;1;"secondary";1
25;6;4;1;"secondary";1
27;31;4;1;"antagonistic";0
29;19;3;1;"primary";1
30;2;3;1;"primary";1
31;3;3;1;"primary";1
32;11;3;1;"secondary";1
33;4;3;1;"secondary";1
34;5;3;1;"secondary";1
35;6;3;1;"secondary";1
36;7;3;1;"antagonistic";0
37;31;3;1;"antagonistic";0
38;9;3;1;"antagonistic";0
39;19;5;1;"primary";1
40;3;5;1;"primary";1
41;5;5;1;"primary";1
42;4;5;1;"secondary";1
43;6;5;1;"secondary";1
44;31;5;1;"secondary";1
45;7;5;1;"antagonistic";0
46;9;5;1;"antagonistic";0
47;2;5;1;"antagonistic";0
48;12;5;1;"antagonistic";0
49;13;5;1;"antagonistic";0
50;14;5;1;"antagonistic";0
51;19;6;1;"primary";1
52;2;6;1;"primary";1
53;3;6;1;"primary";1
54;5;6;1;"secondary";1
55;4;6;1;"secondary";1
56;6;6;1;"secondary";1
57;7;6;1;"antagonistic";0
58;31;6;1;"antagonistic";0
59;9;6;1;"antagonistic";0
60;19;7;1;"primary";1
61;2;7;1;"primary";1
62;3;7;1;"primary";1
63;11;7;1;"primary";1
64;5;7;1;"secondary";1
65;4;7;1;"secondary";1
66;6;7;1;"secondary";1
67;7;7;1;"antagonistic";0
68;31;7;1;"antagonistic";0
69;9;7;1;"antagonistic";0
70;12;7;1;"antagonistic";0
71;7;8;1;"primary";1
72;14;8;1;"primary";1
73;19;8;1;"primary";1
74;5;8;1;"secondary";1
75;2;8;1;"secondary";1
76;13;8;1;"secondary";1
77;11;8;1;"antagonistic";0
78;3;8;1;"antagonistic";0
79;31;8;1;"antagonistic";0
80;19;9;1;"primary";1
81;11;9;1;"primary";1
82;5;9;1;"secondary";1
83;4;9;1;"secondary";1
84;31;9;1;"secondary";1
85;19;9;1;"antagonistic";0
86;11;9;1;"antagonistic";0
87;7;9;1;"antagonistic";0
88;2;9;1;"antagonistic";0
89;19;10;1;"primary";1
90;11;10;1;"primary";1
91;3;10;1;"primary";1
92;16;10;1;"primary";1
93;17;10;1;"primary";1
94;18;10;1;"primary";1
95;5;10;1;"secondary";1
96;4;10;1;"secondary";1
97;6;10;1;"secondary";1
98;31;10;1;"secondary";1
99;7;10;1;"antagonistic";0
100;14;10;1;"antagonistic";0
101;12;10;1;"antagonistic";0
102;9;10;1;"antagonistic";0
103;19;13;1;"primary";1
104;7;13;1;"primary";1
105;16;13;1;"primary";1
106;17;13;1;"primary";1
107;18;13;1;"primary";1
108;14;13;1;"secondary";1
109;5;13;1;"secondary";1
110;4;13;1;"secondary";1
111;2;13;1;"secondary";1
112;13;13;1;"secondary";1
113;9;13;1;"antagonistic";0
114;10;13;1;"antagonistic";0
115;3;13;1;"antagonistic";0
117;5;12;1;"primary";1
118;22;12;1;"primary";1
119;6;12;1;"primary";1
120;3;12;1;"secondary";1
121;19;12;1;"secondary";1
122;11;12;1;"secondary";1
123;7;12;1;"antagonistic";0
124;14;12;1;"antagonistic";0
125;12;12;1;"antagonistic";0
126;21;12;1;"antagonistic";0
127;9;12;1;"antagonistic";0
128;19;11;1;"primary";1
129;3;11;1;"primary";1
130;5;11;1;"secondary";1
131;4;11;1;"secondary";1
132;31;11;1;"secondary";1
133;7;11;1;"antagonistic";0
134;14;11;1;"antagonistic";0
135;12;11;1;"antagonistic";0
136;9;11;1;"antagonistic";0
137;19;14;1;"primary";1
138;2;14;1;"primary";1
139;3;14;1;"primary";1
140;4;14;1;"secondary";1
141;6;14;1;"secondary";1
142;5;14;1;"secondary";1
143;7;14;1;"antagonistic";0
144;31;14;1;"antagonistic";0
145;9;14;1;"antagonistic";0
146;19;15;1;"primary";1
147;2;15;1;"primary";1
148;3;15;1;"primary";1
149;4;15;1;"secondary";1
150;5;15;1;"secondary";1
151;6;15;1;"secondary";1
152;7;15;1;"antagonistic";0
153;31;15;1;"antagonistic";0
154;9;15;1;"antagonistic";0
155;19;16;1;"primary";1
156;3;16;1;"primary";1
157;11;16;1;"secondary";1
158;4;16;1;"secondary";1
159;5;16;1;"secondary";1
160;6;16;1;"secondary";1
161;31;16;1;"secondary";1
162;7;16;1;"antagonistic";0
163;9;16;1;"antagonistic";0
164;2;16;1;"antagonistic";0
165;19;17;1;"primary";1
166;3;17;1;"primary";1
167;4;17;1;"secondary";1
168;6;17;1;"secondary";1
169;5;17;1;"secondary";1
170;22;17;1;"secondary";1
171;31;17;1;"secondary";1
172;7;17;1;"antagonistic";0
173;9;17;1;"antagonistic";0
174;12;17;1;"antagonistic";0
175;13;17;1;"antagonistic";0
176;14;17;1;"antagonistic";0
177;19;18;1;"primary";1
