"id";"trainingsplan_id";"exercise_id";"created_at";"updated_at";"reps";"duration";"pause";"unit";"video_id"
67;9;6;"2020-03-06 01:37:57";"2020-06-10 22:47:29";3;35;120;"reps";""
90;8;55;"2020-03-11 16:28:53";"2020-03-11 16:28:53";12;45;120;"reps";""
91;9;5;"2020-03-11 16:29:13";"2020-06-12 20:37:48";3;45;120;"reps";""
92;10;1;"2020-03-11 16:29:19";"2020-03-11 16:29:19";12;45;120;"reps";""
94;10;5;"2020-03-12 12:06:50";"2020-03-12 12:06:50";12;45;120;"reps";""
99;8;10;"2020-03-30 14:28:02";"2020-03-30 14:28:02";12;45;120;"reps";""
101;11;1;"2020-05-04 21:21:39";"2020-05-04 21:45:07";5;45;120;"reps";""
102;11;5;"2020-05-04 21:21:50";"2020-05-04 21:45:07";5;45;120;"reps";""
103;9;1;"2020-05-04 21:30:37";"2020-06-12 20:37:48";3;45;120;"reps";""
112;4;10;"2020-06-12 20:26:06";"2020-06-12 20:32:10";12;10;120;"duration";"8"
113;9;10;"2020-06-12 20:37:57";"2020-06-12 20:37:57";12;45;120;"reps";""
114;4;55;"2020-06-12 20:43:50";"2020-06-12 20:43:50";12;45;120;"reps";""
115;4;1;"2020-06-12 20:44:25";"2020-06-12 20:44:25";12;45;120;"reps";""
119;7;4;"2020-06-12 21:28:31";"2020-06-16 15:44:59";12;45;120;"reps";""
120;7;55;"2020-06-12 21:29:32";"2020-06-16 15:44:59";12;45;120;"reps";""
