"id";"name";"created_at";"updated_at";"copied_from_trainingsplan_id";"creator_id";"sets";"public";"tags";"duration";"played"
"1";"name";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0";"0";"0";0;"";0;0
"4";"streching";"2020-01-14 19:52:45";"2020-08-19 15:30:12";"0";"1";"3";0;"";0;0
"7";"Erster Trainingsplan";"2020-02-27 22:57:40";"2020-02-27 23:01:31";"0";"2";"3";0;"";0;0
"8";"trainingsplan brust";"2020-02-28 02:08:36";"2020-06-26 13:58:32";"0";"1";"3";0;"";0;0
"9";"hannestp1";"2020-03-06 01:28:23";"2020-06-26 12:04:58";"0";"1";"3";0;"";0;0
"10";"balance";"2020-03-06 01:28:35";"2020-08-19 15:28:56";"0";"1";"3";0;"";0;0
"11";"warm-up routine 10 times";"2020-03-10 21:10:45";"2020-07-03 14:08:27";"0";"1";"3";0;"";0;0
"12";"test2";"2020-06-16 16:43:50";"2020-06-16 16:50:37";"0";"0";"0";0;"";0;0
"13";"warm-up routine 45s";"2020-06-30 22:42:30";"2020-07-03 13:55:53";NULL;NULL;NULL;0;"";0;0
"28";"Erster Trainingsplan";"2020-07-13 14:03:45";"2020-07-13 14:03:45";NULL;NULL;NULL;0;"";0;0
"29";"new";"2020-07-13 14:15:06";"2020-07-13 14:15:06";NULL;NULL;NULL;0;"";0;0
"30";"Erster Trainingsplan";"2020-08-07 20:48:00";"2020-08-07 20:48:00";NULL;NULL;NULL;0;"";0;0
