"id";"muscle_id";"exercise_id";"body_part_id";"muscle_type"
1;1;1;1;"primary"
2;2;1;1;"primary"
3;3;1;1;"primary"
4;4;1;1;"secondary"
5;5;1;1;"secondary"
6;6;1;1;"secondary"
7;7;1;1;"antagonistic"
8;31;1;1;"antagonistic"
9;9;1;1;"antagonistic"
10;1;2;1;"primary"
11;2;2;1;"primary"
12;3;2;1;"primary"
13;10;2;1;"secondary"
14;4;2;1;"secondary"
15;5;2;1;"secondary"
16;6;2;1;"secondary"
17;7;2;1;"antagonistic"
18;31;2;1;"antagonistic"
19;9;2;1;"antagonistic"
20;1;4;1;"primary"
21;2;4;1;"primary"
22;3;4;1;"primary"
23;4;4;1;"secondary"
24;5;4;1;"secondary"
25;6;4;1;"secondary"
26;7;4;1;"antagonistic"
27;31;4;1;"antagonistic"
28;9;4;1;"antagonistic"
29;1;3;1;"primary"
30;2;3;1;"primary"
31;3;3;1;"primary"
32;11;3;1;"secondary"
33;4;3;1;"secondary"
34;5;3;1;"secondary"
35;6;3;1;"secondary"
36;7;3;1;"antagonistic"
37;31;3;1;"antagonistic"
38;9;3;1;"antagonistic"
39;1;5;1;"primary"
40;3;5;1;"primary"
41;5;5;1;"primary"
42;4;5;1;"secondary"
43;6;5;1;"secondary"
44;31;5;1;"secondary"
45;7;5;1;"antagonistic"
46;9;5;1;"antagonistic"
47;2;5;1;"antagonistic"
48;12;5;1;"antagonistic"
49;13;5;1;"antagonistic"
50;14;5;1;"antagonistic"
51;1;6;1;"primary"
52;2;6;1;"primary"
53;3;6;1;"primary"
54;5;6;1;"secondary"
55;4;6;1;"secondary"
56;6;6;1;"secondary"
57;7;6;1;"antagonistic"
58;31;6;1;"antagonistic"
59;9;6;1;"antagonistic"
60;1;7;1;"primary"
61;2;7;1;"primary"
62;3;7;1;"primary"
63;11;7;1;"primary"
64;5;7;1;"secondary"
65;4;7;1;"secondary"
66;6;7;1;"secondary"
67;7;7;1;"antagonistic"
68;31;7;1;"antagonistic"
69;9;7;1;"antagonistic"
70;12;7;1;"antagonistic"
71;7;8;1;"primary"
72;14;8;1;"primary"
73;1;8;1;"primary"
74;5;8;1;"secondary"
75;2;8;1;"secondary"
76;13;8;1;"secondary"
77;11;8;1;"antagonistic"
78;3;8;1;"antagonistic"
79;31;8;1;"antagonistic"
80;1;9;1;"primary"
81;11;9;1;"primary"
82;5;9;1;"secondary"
83;4;9;1;"secondary"
84;31;9;1;"secondary"
85;1;9;1;"antagonistic"
86;11;9;1;"antagonistic"
87;7;9;1;"antagonistic"
88;2;9;1;"antagonistic"
89;1;10;1;"primary"
90;11;10;1;"primary"
91;3;10;1;"primary"
92;16;10;1;"primary"
93;17;10;1;"primary"
94;18;10;1;"primary"
95;5;10;1;"secondary"
96;4;10;1;"secondary"
97;6;10;1;"secondary"
98;31;10;1;"secondary"
99;7;10;1;"antagonistic"
100;14;10;1;"antagonistic"
101;12;10;1;"antagonistic"
102;9;10;1;"antagonistic"
103;1;13;1;"primary"
104;7;13;1;"primary"
