"id";"name";"image1";"description";"image2";"main_description";"how_to";"how_not_to";"info";"exercise_type"
1;"Bankdrücken";"";"Dies ist eine schwere und schlichte Grund?bung, auch wenn sie starke Konzentration und im Allgemeinen auch Hilfestellung
edordert. lst die Bank hoch, empfiehlt es sich, die F??e auf eine Stufe zu stellen, um den Lendenbereich
nicht ?berm??ig zu beugen, wobei das Wichtigste jedoch ist, Stabilit?t zu erreichen. Nur wenn kein Partner da ist,
der Hilfestellung leisten kann, und wenn bei der letzten Wiederholung die Kraft nachl?sst, kann der R?cken gebogen
werden, um den SaIzzu Ende zu bringen (dadurch wird die Kraft erh?ht), Zum Schluss muss die Langhantelsicher
auf die Halterung gelegt werden.
Varianten, bei denen die Absenkung nicht entlang der beschriebenen Linie erfolgt (sondern z, B. in Richtung der Schultern
oder des Bauchs) sind nicht zu empfehlen und bewirken keinen nennenswerten Vorteil. Der Bizeps bleibt beim
Bankdr?cken ebenso unter Spannung, obgleich er als Antagonist angegeben ist. Es handelt sich um eines von zahlreichen
Beispielen, bei denen ein Vluskel eine Bewegung ausf?hrt, aberzur gegenteiligen Bewegung beitragen kann,
abh?ngig davon, ob wir unsere Aufmerksamkeit auf den einen oder den anderen K?rperteil richten, und dar?ber hinaus
in Abh?ngigkeit weiterer Faktoren ... (siehe z. B. ?bung 1, ,,schultern und Nacken).";"";"";"- Rückenlage auf einer flachen Bank
- Kopf, Rücken und Beine sind
fest aufgestützt
- Griff etwas mehr als schulterbreit 
- Vor Abheben aus der Halterung einatmen
- Stange vor die Brust geführt
- Ellbogen absenken bis 0berkörper berührt
- dann wieder angehoben.
- bei Abwärtsbewegung einatmen
- beim Anheben ausatmen";"- Durchbiegen des Rückens (tiefe Beine)  - Abfedern der Langhantel von der Brust
- Absenken in Richtung des Halses o Bauchs
- zu viel oder zu wenig Gewicht
- Durchstrecken der Ellbogen 
- Bewegungen der Füße, des Rückens, des Kopfes";"Eln st?rkerer Tonus der vorderen 0berk?rpermuskeln im Vergleich zu den hinteren f?hrt in der Regel zu einer gekr?mmten Haltung
(neben weiteren Problemen). Dies bedeutet, dass nicht nur eine laterale Symmetrie, sondern auch eine Symmetrie zwischen
der vorderen und der hinteren Seite einzuhalten ist.";"free"
2;"Schrägbankdrücken";"";"Der Neigungswinkel der Bank kann auf 60 oder 70 erh?ht werden. Dadurch wird der obere Bereich des gro?en
Brustmuskels noch st?rker beansprucht, daf?r geht jedoch ein gro?er Teil der Belastung auf die Schultern ?ber.
Dieser Bereich der Brust darJ nicht vernachl?ssigt werden (obwohl der gesamte Bereich arbeitet), denn er entwickelt
sich f?r gew?hnlich weniger als der untere Bereich. Entgegen einem weit verbreiteten Glauben kann diese ?bung dem
Erschlaffen der weiblichen Brust nicht vorbeugen bzw. entgegenwirken, was aber nichi bedeutet, dass diese gute
?bung f?r Frauen keinen Nutzen hat,
Erinnern wir uns daran, dass manche Muskeln aufgrund derAnordnung ihrer Fasern in dem einen oder anderen Bereich
beanspruchtwerden k?nnen (Brustmuskel, R?ckenmuskel, Ges??muskel ,..). Doch die Beanspruchung einzelner
Teile ein und desselben Muskelbauchs wird im Bodybuilding ?berbewertet, denn in vielen F?llen ist dies nicht
m?glich oder zumlndest nicht in dem Ma?e, wie geglaubt wird. Der innere und der ?u?ere Bereich des Brustmuskels
werden immer aktiviert, wenn eine waagerechte Adduktion (Heranf?hren) des Arms gegen einen Widerstand erfolgt (wie beim Bankdr?cken im Liegen).";"";"";"Sie liegen auf einer Schr?gbank, die aber nicht st?rker geneigt ist als 30'
oder 45o, stellen die F??e auf den Boden und st?tzen R?cken und Kopf ab,
Die Langhantel wird im Obergriff (Handfl?chen in Richtung der F??e) senkrecht
?ber der Stirn gehalten. Die Unterarme m?ssen senkrecht zum Boden
bewegt werden, dabei ist der Griff etwas mehr als schulterbreit.
Vor dem Abheben der Langhantel aus der Halterung wird eingeatmet. Die
Langhantel wird gesenkt, bis sie den oberen Teil der Brust ber?hrt, und wieder
senkrecht nach oben gedr?ckt, Die Ellbogen bleiben vom K?rper gel?st.
W?hrend der Aufw?rtsbewegung ausatmen,";"zu starke Schr?gstellung der Bank (?ber 70'),
Durchbiegen des R?ckens, Abfedern der Stange auf der Brust und
Durchstrecken der Ellbogen in der oberen Position.";"Bewegungen des Handgelenks unter Last k?nnen die kleinen Knochen und Muskeln desselben sch?digen
und sogar manche Muskeln des Unterarms. Ein Griff, bei dem der Daumen den ?brigen Fingern
gegen?berliegt (Umschlie?en der Stange) erm?glicht einen sichereren und vor allem nat?rlicheren
Griff bei jeder Art des Bankdr?ckens.";"free"
3;"Bankdrücken auf der Negativbank";"";"Diese ung?nstige Ubung wird nicht mehr praktiziert (bzw. sollte nicht mehr praktiziert werden), da sie einen Bereich
des Brustmuskels beansprucht - den unteren -, der sich bereits durch die herk?mmlichen ?bungen gut entwickelt,
Abgesehen davon sind k?rperliche Belastungen nicht zu empfehlen, beidenen der Kopf tiefer liegt als das Herz, zumindest
nicht ?ber l?ngere Zeit und/oder mit hoher lntensit?t. Dies kann 0hnmacht und weitere Probleme verursachen,
da der menschliche K?rper nicht daf?r geelgnet ist, Anstrengungen in umgekehrter Haliung auszuf?hren, ln
jedem Fall darf der Neigungswinkel der Bank nicht gr??er sein als ca. 35o, und es sollte immer eine weitere Person
um Hilfe gebeten werden. Entgegen den Behauptungen einiger Autoren und Trainer ,,verk?rzt dlese Variante den
unteren Anteil des Brustmuskels nicht, denn diese Wirkung wird durch das gew?hnliche Brustmuskeltraining in Kom-
I
bination mit einer Di?t und aeroben Ubungen erreicht.";"";"";"Sie liegen auf einer Negativbank, der Neigungs
und 30'. Der Kopf zeigt nach unten, die Beine sind fixiert. Die Langhantel
wird im Obergriff (Handfl?chen in Richtung der F??e) senkrecht ?ber die
Augen gehalten.
Vor dem Abheben der Stange aus der Halterung wird eingeatmet, dann absenken,
bis sie den unteren Teil der Brust ber?hrt, und wieder senkrecht
nach oben dr?cken, Die Unterarme m?ssen sich senkrecht zum Boden bewegen
(siehe ?bungen 1 und 2) und die Ellbogen m?ssen, wie in den vorigen
F?llen, vom K?rper gel?st sein. Beim Hochdr?cken der Langhantel
ausatmen.";"starke Negativneigung der Bank, zu vielGewicht und ?berm??iges
Ausf?hren dieser ?bung.";"Fr?her oder sp?ter muss sich jeder Kraftsportler gewisse Kenntnisse der Anatomie und der Physiologie aneignen, Ansonsten wird er nie wissen,
ob er das Richtige tut.";"free"
4;"Kurzhanteldrücken";"";"Wie bei anderen Ubungen erm?glichen die Kurzhanteln eine l?ngere Bewegungsstrecke. Der gr??te Nachteil besteht
in der Handhabung der Last zu Beginn und am Ende des Satzes, weshalb bei schweren ?bungen die Hilfestellung
durch einen Partner empfohlen wird. Wir k?nnen mit den Kurzhanteln ?ber den Knien beginnen und uns mit gebeugten
Armen nach hinten fallenlassen, w?hrend wir sie gleichzeitig mit Hilfe eines Partners anheben. Zum Schluss werden
die H?nde in neutrale Stellung gebracht, wobei die Ellbogen leicht gebeugt und die Kurzhanteln ?ber die
angehobenen Knie geschwungen werden und wir uns gleichzeitig aufrichten (die Hanteln nicht im Liegen zu den Seiten
fallenlassen, dies kann zu einer Verletzung der Schulter und zur Sch?digung des Materials f?hren), Es gibt Studien,
denen zufolge durch Kurzhanteln der innere Anteil des Brustmuskels st?rker beansprucht wird, doch einen
gro?en Unterschied kann es nicht ausmachen, da es zwischen dem inneren und ?u?eren Bereich keine Ans?tze gibt.
Durch die Anordnung der Fasern k?nnen der obere und untere Anteil mancher breiter Muskeln (2. B. Brustmuskel,
R?ckenmuskel usw.) st?rker beansprucht werden, etwa durch Ver?nderung des Neigungswinkels der Bank oder eine
Reihe weiterer Techniken, die im weiteren Verlauf des Buches beschrieben werden.";"";"";"Sie liegen in R?ckenlage auf einer Flachbank, R?cken und Kopf sind aufgest?tzt,
lst die Bank niedrig, stehen die F??e auf dem Boden, anderenfalls
auf einer Stufe, Halten Sie die Kurzhanteln mit etwas Abstand voneinander
senkrecht ?ber die Brust. Wie bei der Verwendung der Langhantel m?ssen
sich die Arme senkrecht zum Boden bewegen. Zu Beginn der Abw?rtsbewegung
einatmen, Absenken bis auf die H?he des Brustmuskels (je nach
Beweglichkeit) und wieder senkrecht zur Mitte heben. Die Ellbogen bleiben
senkrecht zum K?rper (auseinander), W?hrend der Aufw?rtsbewegung ausatmen.";"zu tiefes Absenken des Gewichts, falsches Aufnehmen und
Ablegen des Gewichts zu Beginn und am Ende des Satzes und Zusammensto?en
der Kurzhanteln am obersten Punkt.";"";"free"
5;"Fliegende Bewegung mit Kurzhanteln";"";"Theoretisch tr?gt diese Ubung zurWeitung des Brustkorbs bei, insbesondere bei Menschen im Wachstumsalter, denn
sp?ter werden weniger Fortschritte erreicht, trotz Hinweisen, dass die Rippenknorpel verl?ngert werden k?nnten (slehe
?bung 5, R?ckenmuskel). Tats?chlich ist diese ?bung beinahe identisch mit dem Bankdr?cken (siehe ?bung 4), zumindest
im Hinblick auf den Brustmuskel. Dieser lVuskel hat seinen Ansatz am Oberarm und er bewegt sich beim Bankdr?cken
genauso wie bei derfliegenden Bewegung. Diese ?bung f?hlt sich deswegen anders an, weil das Gewicht an
einem weiter entfernten Punkt am K?rperhebel ansetzt (technisch gesprochen ein ,,gr??eres Kraftmoment). Erstaunlicherweise
besteht dieser lrrtum immer noch bei Trainern, in B?chern, Zeitschriften und Krafttrainingskursen, zu einer
gezielteren Beanspruchung des Brustmuskels kommt es nur, wenn der Trizeps nicht beteiligt ist.";"";"";"Sie liegen auf einerflachen, schmalen Bank. lst die Bank niedrig, stehen die
F??e auf dem Boden, ansonsten stehen sie auf einer Erh?hung. R?cken
und Kopf sind aufgest?tzt, Die Kurzhanteln werden in geringem Abstand
voneinander senkrecht ?ber der Brust gehalten, wobei sich die Handfl?chen
gegen?berliegen und die Ellbogen halb gebeugt sind. W?hrend der
Abw?rtsbewegung bis zur H?he der Brust (je nach Dehnbarkeit) tief einatmen,
ohne die Beugung des Ellbogens zu ver?ndern, dann die Hanteln
wieder vertikal nach oben und nach innen f?hren, ohne dass sie sich ber?hren.
Dabei ausatmen. Die Ellbogen bewegen sich entfernt vom K?rper,
wie bei einer Umarmung.";"Beugen der Ellbogen und Ausf?hren der Ubung als Bankdr?cken
(das ist nicht sch?dlich, allerdings ist es dann keine fliegende Bewegung
mehr), zu hohes Gewicht auf den Kurzhanteln und somit Gef?hrdung der
Gelenke, Umleiten der Belastung auf die Deltamuskeln und falsche Atmung,";"Viele Sportler denken, sie f?hren eine ,,fliegende Bewegung aus, obwohl es sich in Wirklichkeii um
,,Bankdr?cken mit neutralem Griff handelt, im Brustbereich hat sich praktisch nichts ge?ndert. Das
liegt daran, dass bei der Grund?bung der fliegenden Bewegung (der einzigen, die diese Bezeichnung
verdient) nicht mit so viel Gewicht gearbeitet werden kann. Bei der Wahl einer Bewegung, die
diesen Muskel intensiv beansprucht, ist das Bankdr?cken (sei es mit der Langhantel oder mit Kurzhanteln)
der fliegenden Bewegung mit Kurzhanteln ?berlegen.";"free"
6;"Liegestütz auf dem Boden";"";"Diese Ubung ?hnelt dem Bankdr?cken, nutzt aber das Eigengewicht des K?rpers. Bei Schmerzen in den Handgelenken
k?nnen die F?uste aufgest?tztwerden, ohne die Belastung der Muskeln zu ver?ndern. Eine Steigerung von leicht
zuanspruchsvollkannsoerfolgen: l.anderWand,dieF??eingeringemAbstandzurWand,2.anderWand,dieF??
ein gro?em Abstand zur Wand, 3. auf dem Boden, mit aufgest?tzten Knien und erh?hten H?nden, 4. auf dem Boden,
mit aufgest?tzten Knien und H?nden auf dem Boden, 5. mit Abst?tzen der F??e auf dem Boden und Abst?tzen der
H?nde auf einer Erh?hung und 6. mit auf dem Boden aufgest?tzten F??en und H?nden, wie in der erl?uterten ?bung.
'lede dieser Varianten wird leichter, wenn die Beine weit ge?ffnet werden.";"";"";"Sie liegen mit dem Gesicht nach unten (b?uchlings), die F??e stehen
aneinander: Die H?nde sind etwas mehr als schulterbreit auseinander, die
Finger zeigen leicht nach innen. Zu Beginn sind die Arme gestreckt, dann
absenken, bis die Brust den Boden ber?hrt. Die H?fte darf nicht geknickt
werden, der K?rper wird steif und gerade wie ein Brett abgesenkt. W?hrend
der Abw?rtsbewegung einatmen und w?hrend der Aufw?rtsbewegung
ausatmen.";"nicht gleichzeitiges Absenken der Schultern und der H?fte, kurze
Bewegungsstrecke und/oder zu schnelle Ausf?hrung.";"Verletzung: Zerrung des Brustmuskels
Bei Bewegungen mit hoher Spannung und/oder Bewegungsstrecke f?r den Brustmuskel k?nnen Zerrungen und sogar Risse entstehen,
insbesondere an seinem Ansatz am Oberarmknochen, Zu dieser Verletzung kommt es in der Regel dann, wenn versucht
wird, ein zu hohes Gewicht zu heben oderwenn der Muskel unter Belastung zu weit gestreckt wird. Bei einer leichten Zerrung reichi
es in der Regel aus, auszuruhen und zu k?hlen, doch in vielen F?llen ist eine ?rztliche Behandlung notwendig.
ln ersterem Fall muss mindestens eine Woche lang absolute Ruhe gewahrt werden, in letzterem Fall kann es sogar zwei oder drei Monate andauern.";"free"
7;"Oberkörperheben am Barren";"";"Diese ?bung stellt eine ausgezeichnete Alternative zum Bankdr?cken auf der Negativbank dar, erfordertjedoch ein
gewisses Vla? an Kraft, weswegen sie f?r Anf?nger nicht zu empfehlen ist, Zwar werden Trizeps und Deltamuskel
stark beansprucht, doch die Hauptbeanspruchung sollte auf den Brustmuskel gerichtet sein, damit wir merken, wie
er sich beim Absenken verl?ngert und wie er durch das Dr?cken auf die Griffe den K?rper wieder nach oben f?hrt.
Diese Bewegung muss vorsichtig ausgef?hrt werden und sollte bei Verletzungen des Ellbogens oder der Schulter gemieden
werden.
Au?er bei einem sportspezifischen Training muss diese ?bung in jedem Fall langsam ausgef?hrt werden.
Die Schwierigkeit ihrer korrekten Ausf?hrung f?hrt dazu, dass sich viele Personen f?lschlicherweise mit Schwung und
nur ?ber eine kurze Strecke, n?mlich mit fast gestreckten Armen bewegen, da dies der einfachste Teil der ?bung ist,";"";"";"Sie h?ngen sich mit neutralem und nicht zu breitem Griff an den Barren, der
Oberk?rper ist leicht nach vorne geneigt und die Beine stehen aneinander,
Die Einatmung erlolgt beim senkrechten Absenken, wobei der 0berk?rper
nach vorne gebeugt wird und die Beine nach vorne gef?hrt werden. W?hrend
des Absenkens werden die Ellbogen vom Oberk?rper entfernt. Unten
angekommen, erfolgt bei Ausatmung eine erneute Aufw?rtsbewegung,";"kurze Bewegungsstrecke, ?berm??ige Belastung des Trizeps, zu
viel Zusatzgewicht, falls ein solcher bei der ?bung venryendet wird, falsche Oberk?rperhaltung
bei der Bewegung und hohe Geschwindigkeit.";"Proteine sind die ,,Bausteine der Muskeln. Zu den besten nat?rlichen Proteinquellen z?hlen Eier, Fisch und Fleisch. Zu den pflanzlichen
Quellen geh?rt insbesondere Soja.";"free"
8;"Überzüge mit der Kurzhantel";"";"Diese ?bung ist f?r ge?bte Sportler geeignet. Neben dem Brustmuskel beansprucht sie auch den R?ckenmuskel und
die angrenzenden Muskeln stark. Sie galt fr?her und in der Theorie als ?bung zur ,,Weitung des Brustkorbs (siehe
?bung 5, R?ckenmuskel) und zur Verbesserung der Dehnbarkeit der Brustmuskeln, Daf?r ist es wichtig, tief einzuatmen.
Bei dieser ?bung k?nnte mit viel Gewicht gearbeitet werden, denn die aktivierten Muskeln sind sehr stark und
der Hebel ist g?nstig, doch im Allgemeinen ist dies unn?tig und kann zu einer fehlerhaften Ausf?hrung und sp?teren
Verletzung f?hren. Sie sollte nicht mit dem Ziel ausgef?hrt werden, einen gr??eren Brustmuskel zu bekommen, f?r diesen
Zweck gibt es gezieltere ?bungen. Weiterhin ist anzumerken, dass es nicht stimmt, dass die Venruendung der Langhantel
bzw. der Kurzhanteln den Unterschied zwischen einer ?bung f?r den Brust- oder den R?ckenmuskel ausmacht";"";"";"Sie liegen auf einer Bank mit dem Kopf am Rand und halten eine Kurzhantel
senkrecht nach oben. Dabei befindet sich die Stange in dem Dreieck
zwischen Daumen und Zeigefingern, Mit halb gebeugten Ellbogen wird das
Gewicht langsam ?ber und hinter den Kopf gesenkt, Gleichzeitig tief einatmen,
Die Beugung des Ellbogens bleibt unver?ndert. Es muss zu sp?ren
sein, wie sich die Brustmuskeln strecken und der Brustkorb sich ausdehnt,
Die Bewegung erlolgt bis senkrecht ?ber die Augen, w?hrend der Brustmuskel
kontrahiert, W?hrend der Aufw?rtsbewegung ausatmen.";"zu vielGewicht, falsche Atmung, zu lange oder zu kurze Bewegungsstrecke
und Beugen des Ellbogens (Trizeps).";"Die mentale Konzentration auf den beanspruchten Muskel spielt eine gro?e Rolle bei der Ausf?hrung der Bewegungen im Krafttraining.
Dies dient nicht nur der Vermeidung von Unf?llen, sondern auch der ausreichenden Reizung des Bereichs, der beansprucht werden
soll. Anderenfalls k?nnte der Muskel, der trainiert werden soll, auf die ein oder andere Weise durch andere lvluskeln ersetzt werden.";"free"
9;"Drehung mit der Kurzhantel";"";"Die Ubung soll so aussehen wie ,,R?ckenschwimmen (unter Ausnutzung der drei Freiheitsgrade der Schulter), wobei
jedoch nicht dieselben Muskelgruppen in derselben Weise beansprucht werden wie beijenem Sport. Diese ?bung zielt
nicht direkt auf Volumen ab, sondern auf Beweglichkeit, und muss mit geringem Gewicht ausgef?hrt werden, Neben
dem Brustmuskel werden auch der Deltamuskel und weitere angrenzende Vluskeln erheblich beansprucht. Als Variante
k?nnen die Drehungen auch umgekehrt erfolgen, auf diese Weise werden dieselben 14uskeln exzentrisch (negativ)
und umgekehrt beansprucht.";"";"";"Wir liegen auf einer Bank und halten die Kurzhanteln senkrecht - mit gegen?berliegenden Handfl?chen vor
uns, Mit halb gebeugten Ellbogen wird das Gewicht langsam ?ber und hinter den Kopf gesenkt, Gleichzeitig einatmen
(wie beiden ,,?berz?gen, ?bung 8). Die Beugung des Ellbogens bleibt unver?ndert, lst die H?he des
Kopfes erreicht, werden die Arme in einer Adduktion kreuzf?rmig ge?ffnet, um sie in Richtung K?rperseite zu
f?hren. Von dieser Position aus werden sie bis zur?ck zur Ausgangsposition nach vorne und nach oben gehoben
(Schulterbeugung). Die gesamte Bewegung muss langsam und kontrolliert erfolgen, Die Einatmung erfolgt
bei der Abw?rtsbewegung, so wie bei den ?berz?gen, die Ausatmung am Ende der Bewegungsstrecke,";"zu viel Gewicht, ?berm??ige Drehung (Zirkumduktion) der Schulter,";"";"free"
10;"Rollende Liegestützen mit Kurzhanteln";"";"Diese ?bung wird nicht oft ausgef?hrt, da sie Kraft und Koordination erfordert, Sie eignet sich nicht f?r Anf?nger und
l?sst sich in jedem Fall leicht durch andere, wirkungsvollere ?bungen ersetzen. Manche Kurzhanteln lassen sich nicht
so rollen wie oben erkl?rt, doch zu diesem Zweck gibt es Gleltschienen. Eine weitere M?glichkeit w?re es, die Kurzhanteln
nach vorne rollen zu lassen, wodurch sich eine erhebliche Beanspruchung der Bauch- und R?ckenmuskeln
erreichen lie?e. Daf?r wird jedoch vorzugsweise mit nur einer beweglichen Scheibe gearbeitet, durch die in der Mitte
eine Stange f?hrt und bei der man sich auf beiden Seiten abst?tzen kann (siehe ?bung 13). Diese ?bung stellt in
Wahrheit keine zu bevorzugende Alternative zu den klassischen ?bungen f?r die Brustmuskeln dar, kann jedoch beim
Training au?erhalb des Kraftraums genutzt werden, wenn kein ausreichendes Gewicht vorhanden ist, um eine hohe
Intensit?t bei der Ausf?hrung der ?bung zu erreichen.";"";"";"Die Haltung entspricht den ,,Liegest?tzen auf dem Boden, doch mit einander gegen?berliegenden Kurzhanteln
und halb gebeugten Ellbogen. Durch das Rollen der Kurzhanteln nach au?en werden die Arme gleichzeitig
ge?ffnet, ?hnlich wie bei den ,,Fliegenden Bewegungen. Anhalten der Bewegung und Kontraktion des
Brustmuskels, um die Hanteln zueinander zu f?hren, bis sie wieder in derAusgangsposition aneinanderliegen.
Bei der Abw?rtsbewegung einatmen, w?hrend der Aufw?rtsbewegung ausatmen.";"falsche Technik bei der Ausf?hrung und fehlendes Aufw?rmen.";"";"free"
