"id";"user_id";"exercise_id";"created_at";"updated_at"
35;1;20;"2010-08-30 22:08:40";"2010-08-30 22:08:40"
36;1;20;"2010-09-02 08:52:57";"2010-09-02 08:52:57"
37;1;13;"2010-09-04 22:19:23";"2010-09-04 22:19:23"
38;1;18;"2010-09-04 22:20:02";"2010-09-09 10:48:36"
40;1;12;"2010-09-09 10:47:17";"2010-09-09 10:48:36"
41;1;13;"2010-09-09 10:47:54";"2010-09-09 10:47:54"
42;1;13;"2010-09-09 10:48:05";"2010-09-09 10:48:05"
43;1;5;"2010-09-09 10:51:14";"2010-09-09 10:51:14"
44;1;13;"2010-09-14 07:59:31";"2010-09-14 07:59:31"
45;1;1;"2010-09-14 08:00:06";"2010-09-14 08:00:06"
